"parameter","true","point","lwr","upr","covers","time","fail","method","replicate"
"alpha",1,1.24115181598971,1.03894232103997,1.49660508677622,FALSE,7.34699999999998,FALSE,"fixed",14
"beta",9,100.189071377884,25.8836164135181,369.43325068539,FALSE,7.34699999999998,FALSE,"fixed",14
"p_hat",0.1,0.012236508773301,0.00342429395939046,0.0415023485659056,FALSE,7.34699999999998,FALSE,"fixed",14
"n_iter",NA,1000,1000,1000,NA,7.34699999999998,FALSE,"fixed",14
"mu",100,180.283570160214,8.94599868360059,2827.27355361934,TRUE,2.63700000000006,FALSE,"adaptive",15
"alpha",1,0.989984027012576,0.71172626585569,1.3826339652346,TRUE,2.63700000000006,FALSE,"adaptive",15
"beta",9,18.0515296669824,0.620549810253761,405.229120810388,TRUE,2.63700000000006,FALSE,"adaptive",15
"p_hat",0.1,0.0519908260930318,0.00303181944080442,0.555039133577973,TRUE,2.63700000000006,FALSE,"adaptive",15
"n_iter",NA,270.5,220,293,NA,2.63700000000006,FALSE,"adaptive",15
"mu",100,180.237212845634,13.1169682275126,2042.82265476007,TRUE,6.19100000000003,FALSE,"fixed",15
"alpha",1,0.989986777937468,0.726589514143922,1.37144452212668,TRUE,6.19100000000003,FALSE,"fixed",15
"beta",9,18.0468062028723,0.867617813267149,279.365647235564,TRUE,6.19100000000003,FALSE,"fixed",15
"p_hat",0.1,0.0520038631998275,0.00419318276608467,0.466740169149826,TRUE,6.19100000000003,FALSE,"fixed",15
"n_iter",NA,1000,1000,1000,NA,6.19100000000003,FALSE,"fixed",15
"mu",100,344.490742326129,4.81224343459401,22925.0379379061,TRUE,12.169,FALSE,"adaptive",16
"alpha",1,1.00000677689162,0.745050574326314,1.33606792397749,TRUE,12.169,FALSE,"adaptive",16
"beta",9,31.9558063897553,0.321490390766568,3018.5377425117,TRUE,12.169,FALSE,"adaptive",16
"p_hat",0.1,0.0303438659466512,0.000396909001282797,0.714337763109855,TRUE,12.169,FALSE,"adaptive",16
"n_iter",NA,469,402,496,NA,12.169,FALSE,"adaptive",16
"mu",100,343.730293372161,7.7124283611978,20028.6563853802,TRUE,13.712,FALSE,"fixed",16
"alpha",1,0.999880828017036,0.735267983142618,1.34144783920412,TRUE,13.712,FALSE,"fixed",16
"beta",9,31.8794641116411,0.478746755384723,2540.24390040949,TRUE,13.712,FALSE,"fixed",16
"p_hat",0.1,0.0304106067153123,0.000477737394572972,0.618488384303191,TRUE,13.712,FALSE,"fixed",16
"n_iter",NA,1000,1000,1000,NA,13.712,FALSE,"fixed",16
"mu",100,489.44774705195,0.0114930904178755,14723384.7441618,TRUE,26.674,FALSE,"adaptive",17
"alpha",1,1.02492187531168,0.672748408925554,1.52239578862786,TRUE,26.674,FALSE,"adaptive",17
"beta",9,49.3861538881699,0.000707562530767348,2452653.59297542,TRUE,26.674,FALSE,"adaptive",17
"p_hat",0.1,0.0203312835480918,5.8674534009837e-07,0.99908217273585,TRUE,26.674,FALSE,"adaptive",17
"n_iter",NA,641,601,668,NA,26.674,FALSE,"adaptive",17
"mu",100,491.322250768112,0.0391861350265273,6666955.65375339,TRUE,28.6419999999999,FALSE,"fixed",17
"alpha",1,1.02513945874353,0.72111145836323,1.51579887436646,TRUE,28.6419999999999,FALSE,"fixed",17
"beta",9,49.5913679998275,0.00241953559713356,1134896.91766532,TRUE,28.6419999999999,FALSE,"fixed",17
"p_hat",0.1,0.02025306585174,1.27120883781652e-06,0.996671934937765,TRUE,28.6419999999999,FALSE,"fixed",17
"n_iter",NA,1000,1000,1000,NA,28.6419999999999,FALSE,"fixed",17
"mu",100,88.3820078184903,41.307151762331,188.226350177078,TRUE,1.01699999999994,FALSE,"adaptive",18
"alpha",1,0.739005202385127,0.535475348821705,1.01540535060813,TRUE,1.01699999999994,FALSE,"adaptive",18
"beta",9,5.9670057361194,2.06372957636247,17.2501391064388,TRUE,1.01699999999994,FALSE,"adaptive",18
"p_hat",0.1,0.110200417082816,0.0504338739738611,0.220332648128334,TRUE,1.01699999999994,FALSE,"adaptive",18
"n_iter",NA,146,108,171,NA,1.01699999999994,FALSE,"adaptive",18
"mu",100,88.3934984629671,39.9329566105852,193.269156743824,TRUE,5.95700000000011,FALSE,"fixed",18
"alpha",1,0.73909904532942,0.531523705740813,1.0440954212529,TRUE,5.95700000000011,FALSE,"fixed",18
"beta",9,5.96869374932153,2.01098222830002,18.596719938141,TRUE,5.95700000000011,FALSE,"fixed",18
"p_hat",0.1,0.110185133613371,0.0493488184012716,0.232532836115276,TRUE,5.95700000000011,FALSE,"fixed",18
"n_iter",NA,1000,1000,1000,NA,5.95700000000011,FALSE,"fixed",18
"mu",100,89.6423813719324,38.5473684621029,216.008011086459,TRUE,0.90300000000002,FALSE,"adaptive",19
"alpha",1,1.09129457758052,0.834735453453212,1.45551255216927,TRUE,0.90300000000002,FALSE,"adaptive",19
"beta",9,8.00927755351684,2.6240070325758,26.5407983633066,TRUE,0.90300000000002,FALSE,"adaptive",19
"p_hat",0.1,0.119914941814645,0.0488097253454983,0.254703956296016,TRUE,0.90300000000002,FALSE,"adaptive",19
"n_iter",NA,152,105,172,NA,0.90300000000002,FALSE,"adaptive",19
"mu",100,89.6072555856703,35.1511420316012,217.278836490653,TRUE,5.077,FALSE,"fixed",19
"alpha",1,1.09115023273175,0.811353278308226,1.44564268799036,TRUE,5.077,FALSE,"fixed",19
"beta",9,8.0048062195424,2.25574711312238,26.2833416290851,TRUE,5.077,FALSE,"fixed",19
"p_hat",0.1,0.119959922681792,0.0464510898801045,0.282360555049711,TRUE,5.077,FALSE,"fixed",19
"n_iter",NA,1000,1000,1000,NA,5.077,FALSE,"fixed",19
"mu",100,19225.8810497331,7313.30642160831,55354.9135774878,FALSE,88.192,FALSE,"adaptive",20
"alpha",1,1.33634480114952,1.09936145126115,1.60581336881861,FALSE,88.192,FALSE,"adaptive",20
"beta",9,2492.1558526393,915.639578953264,7405.87089135901,FALSE,88.192,FALSE,"adaptive",20
"p_hat",0.1,0.000535933018968846,0.000194700942703937,0.00142016813852702,FALSE,88.192,FALSE,"adaptive",20
"n_iter",NA,20000,20000,20000,NA,88.192,FALSE,"adaptive",20
"mu",100,866.741521689004,537.104004944626,1375.14099068687,FALSE,6.101,FALSE,"fixed",20
"alpha",1,1.3142032647634,1.092970846901,1.58210713452002,FALSE,6.101,FALSE,"fixed",20
"beta",9,109.351299082052,64.9370924244512,184.323881150849,FALSE,6.101,FALSE,"fixed",20
"p_hat",0.1,0.0118754556469171,0.0072715511382008,0.0192605254227337,FALSE,6.101,FALSE,"fixed",20
"n_iter",NA,1000,1000,1000,NA,6.101,FALSE,"fixed",20
"mu",100,189.505211259861,5.51180887948116,5267.34912266421,TRUE,4.10500000000002,FALSE,"adaptive",21
"alpha",1,1.18871940884628,0.838525375989807,1.68995354790438,TRUE,4.10500000000002,FALSE,"adaptive",21
"beta",9,20.0197322113031,0.355842730371878,881.580279998948,TRUE,4.10500000000002,FALSE,"adaptive",21
"p_hat",0.1,0.05604932553006,0.00187038910155133,0.719695008860751,TRUE,4.10500000000002,FALSE,"adaptive",21
"n_iter",NA,280,245,304,NA,4.10500000000002,FALSE,"adaptive",21
"mu",100,189.485377705013,8.45527581667924,5075.33243194905,TRUE,7.74700000000007,FALSE,"fixed",21
"alpha",1,1.18861804499727,0.838680536371244,1.72066914357371,TRUE,7.74700000000007,FALSE,"fixed",21
"beta",9,20.0157264490847,0.555416752981119,855.085164016224,TRUE,7.74700000000007,FALSE,"fixed",21
"p_hat",0.1,0.0560554015394819,0.00186801937120399,0.604728034237934,TRUE,7.74700000000007,FALSE,"fixed",21
"n_iter",NA,1000,1000,1000,NA,7.74700000000007,FALSE,"fixed",21
"mu",100,94.5676565410156,34.3796047634114,248.807650515654,TRUE,1.06299999999999,FALSE,"adaptive",22
"alpha",1,0.769055233829531,0.545973891500937,1.08844437373711,TRUE,1.06299999999999,FALSE,"adaptive",22
"beta",9,6.90171805812371,1.74718802708079,25.8582986542816,TRUE,1.06299999999999,FALSE,"adaptive",22
"p_hat",0.1,0.10025784944476,0.0368210832423144,0.247736705402891,TRUE,1.06299999999999,FALSE,"adaptive",22
"n_iter",NA,155.5,111,180,NA,1.06299999999999,FALSE,"adaptive",22
"mu",100,94.5894700361058,36.4146290414593,236.115904616895,TRUE,5.91700000000003,FALSE,"fixed",22
"alpha",1,0.769200766336769,0.556143229309776,1.05311390370615,TRUE,5.91700000000003,FALSE,"fixed",22
"beta",9,6.90463325206968,2.13163267204594,21.8344411910681,TRUE,5.91700000000003,FALSE,"fixed",22
"p_hat",0.1,0.100236826140853,0.0395043035946182,0.23768414360974,TRUE,5.91700000000003,FALSE,"fixed",22
"n_iter",NA,1000,1000,1000,NA,5.91700000000003,FALSE,"fixed",22
"mu",100,335.234464139177,1.36600685815688,68169.2462097108,TRUE,14.62,FALSE,"adaptive",23
"alpha",1,1.10586671979269,0.782019753318236,1.55326645940144,TRUE,14.62,FALSE,"adaptive",23
"beta",9,35.6990124875301,0.0873793207792593,11372.3806777949,TRUE,14.62,FALSE,"adaptive",23
"p_hat",0.1,0.0300467422692333,0.000130561653724746,0.897069705735375,TRUE,14.62,FALSE,"adaptive",23
"n_iter",NA,461.5,419,485,NA,14.62,FALSE,"adaptive",23
"mu",100,334.391549047943,3.79581434936779,75270.0077836046,TRUE,14.6310000000001,FALSE,"fixed",23
"alpha",1,1.10575155101815,0.814380870051775,1.53118796806699,TRUE,14.6310000000001,FALSE,"fixed",23
"beta",9,35.6034379599323,0.314781868686786,10901.0853183471,TRUE,14.6310000000001,FALSE,"fixed",23
"p_hat",0.1,0.0301219276630529,0.000121629532525693,0.75093997469812,TRUE,14.6310000000001,FALSE,"fixed",23
"n_iter",NA,1000,1000,1000,NA,14.6310000000001,FALSE,"fixed",23
"mu",100,248.206958082736,8.70112393397756,8471.70072290844,TRUE,5.86400000000003,FALSE,"adaptive",24
"alpha",1,1.01701588648853,0.746854682280992,1.39428699618702,TRUE,5.86400000000003,FALSE,"adaptive",24
"beta",9,24.6121190571003,0.633896207323971,1208.44242293864,TRUE,5.86400000000003,FALSE,"adaptive",24
"p_hat",0.1,0.0396820216026426,0.00107162474975232,0.581957792109199,TRUE,5.86400000000003,FALSE,"adaptive",24
"n_iter",NA,355,304,379,NA,5.86400000000003,FALSE,"adaptive",24
"mu",100,248.052800840348,7.20897810810228,7937.10983793896,TRUE,8.61500000000001,FALSE,"fixed",24
"alpha",1,1.01707721161582,0.751068562796007,1.42973704753186,TRUE,8.61500000000001,FALSE,"fixed",24
"beta",9,24.5987104265103,0.461573055884767,1077.88170160037,TRUE,8.61500000000001,FALSE,"fixed",24
"p_hat",0.1,0.0397050922651316,0.00116261945296119,0.627019383692803,TRUE,8.61500000000001,FALSE,"fixed",24
"n_iter",NA,1000,1000,1000,NA,8.61500000000001,FALSE,"fixed",24
"mu",100,77.6810855463818,42.5679566926459,141.418554819826,TRUE,0.894999999999982,FALSE,"adaptive",25
"alpha",1,0.946876610559777,0.705581327361516,1.28156371653856,TRUE,0.894999999999982,FALSE,"adaptive",25
"beta",9,5.51433479762539,2.18747340136513,12.8219280534678,TRUE,0.894999999999982,FALSE,"adaptive",25
"p_hat",0.1,0.146547845402529,0.0766023439578886,0.257306971617142,TRUE,0.894999999999982,FALSE,"adaptive",25
"n_iter",NA,132,91,155,NA,0.894999999999982,FALSE,"adaptive",25
"mu",100,77.6821998862827,40.5160300297356,154.991680406168,TRUE,6.16099999999994,FALSE,"fixed",25
"alpha",1,0.946873650030785,0.709044636393638,1.31161021727324,TRUE,6.16099999999994,FALSE,"fixed",25
"beta",9,5.5144047350056,2.1068432111814,15.6940578447078,TRUE,6.16099999999994,FALSE,"fixed",25
"p_hat",0.1,0.146545868109265,0.0696701870561511,0.270902947156164,TRUE,6.16099999999994,FALSE,"fixed",25
"n_iter",NA,1000,1000,1000,NA,6.16099999999994,FALSE,"fixed",25
"mu",100,82.429344261597,38.5067233929276,163.8483693242,TRUE,0.888000000000034,FALSE,"adaptive",26
"alpha",1,0.994088760280593,0.742428014330741,1.30207774557348,TRUE,0.888000000000034,FALSE,"adaptive",26
"beta",9,6.73114968172789,2.32176753346226,17.5900411698792,TRUE,0.888000000000034,FALSE,"adaptive",26
"p_hat",0.1,0.128680657269414,0.0625239371957617,0.255778220332887,TRUE,0.888000000000034,FALSE,"adaptive",26
"n_iter",NA,140,100,162,NA,0.888000000000034,FALSE,"adaptive",26
"mu",100,82.396228823006,39.2447792794148,172.6202217892,TRUE,5.23599999999999,FALSE,"fixed",26
"alpha",1,0.994030642544095,0.738080807411374,1.36702337228759,TRUE,5.23599999999999,FALSE,"fixed",26
