"parameter","true","point","lwr","upr","lwr_exact","upr_exact","time","implementation","method","replicate"
"beta",0.1,0.158871717440158,0.107831478409591,0.234071005745764,0.0973049152510256,0.220438519629291,1.033,"Full","Fixed",10
"mu",15,23.2798627103509,15.8008112340615,34.2989989428207,14.2583280839244,32.3013973367774,0.483999999999995,"Full","Adaptive",10
"beta",0.1,0.158871718525635,0.107831479263069,0.234071007091648,0.0973049159103709,0.2204385211409,0.483999999999995,"Full","Adaptive",10
"mu",15,10.5330771793892,7.18852389545428,15.4337269348339,6.53149162566942,14.534662733109,1.892,"Bessel","Fixed",11
"beta",0.1,0.0783338079632054,0.0534661702181377,0.114767626799922,0.0485661372148692,0.108101478711542,1.892,"Bessel","Fixed",11
"mu",15,10.5330732635417,7.18852036012811,15.4337230496708,6.53148924624504,14.5346572808384,0.856000000000002,"Bessel","Adaptive",11
"beta",0.1,0.0783338195862152,0.0534661821090512,0.114767635333493,0.0485661447571058,0.108101494415325,0.856000000000002,"Bessel","Adaptive",11
"mu",15,10.5330732635387,7.18852036012857,15.433723049661,6.53148924624397,14.5346572808334,0.976999999999997,"Full","Fixed",11
"beta",0.1,0.0783338195861831,0.0534661821090508,0.1147676353334,0.0485661447570918,0.108101494415274,0.976999999999997,"Full","Fixed",11
"mu",15,10.5330710424955,7.18851898171549,15.4337195002832,6.53148794973332,14.5346541352577,0.394999999999996,"Full","Adaptive",11
"beta",0.1,0.078333757475001,0.0534661291587648,0.11476756699426,0.0485661068309447,0.108101408119057,0.394999999999996,"Full","Adaptive",11
"mu",15,21.6017501315778,14.6670526953355,31.8152268516443,13.2382319906226,29.9652682725329,1.519,"Bessel","Fixed",12
"beta",0.1,0.149033387687314,0.101189972569194,0.219497545869668,0.0913323474942228,0.206734427880404,1.519,"Bessel","Fixed",12
"mu",15,21.6017489309885,14.6670516369431,31.8152256109953,13.2382312573799,29.9652666045972,0.974000000000004,"Bessel","Adaptive",12
"beta",0.1,0.149033388856519,0.101189974140342,0.219497545905622,0.091332348228107,0.206734429484931,0.974000000000004,"Bessel","Adaptive",12
"mu",15,21.6017489309524,14.6670516369144,31.8152256109513,13.2382312573762,29.9652666045286,1.204,"Full","Fixed",12
"beta",0.1,0.14903338885625,0.101189974140132,0.219497545905285,0.0913323482280696,0.206734429484431,1.204,"Full","Fixed",12
"mu",15,21.6018667875189,14.66714717521,31.8153655330065,13.2383029287839,29.9654306462538,0.624000000000002,"Full","Adaptive",12
"beta",0.1,0.149034139959602,0.101190575065358,0.219498454862543,0.091332804700222,0.206735475218983,0.624000000000002,"Full","Adaptive",12
"mu",15,13.3912096006616,9.12208542061702,19.6582783760779,8.25304106996966,18.5293781313535,1.385,"Bessel","Fixed",13
"beta",0.1,0.0903959186156521,0.0615781433327692,0.132700040308281,0.0557105690419716,0.125081268189333,1.385,"Bessel","Fixed",13
"mu",15,13.3912481291579,9.12211687054372,19.6583237204224,8.25306447513371,18.5294317831821,1.15600000000001,"Bessel","Adaptive",13
