"phi_0","L","target_error","error","success","n_iter","method","row_id","comparative_error","comparative_success"
10,0.99,2.22044604925031e-15,-0.000999454789429474,FALSE,1000,"Fixed_1000","10_0.99_2.22044604925031e-15",299.850549721365,FALSE
10,0.99,2.22044604925031e-15,-3.33317644525986e-06,FALSE,3e+05,"Fixed_3e+05","10_0.99_2.22044604925031e-15",1,TRUE
100,0.99,2.22044604925031e-15,-3.33332777783292e-06,FALSE,3e+05,"Threshold","100_0.99_2.22044604925031e-15",1,TRUE
100,0.99,2.22044604925031e-15,-3.33332777783292e-06,FALSE,3e+05,"Batches_C","100_0.99_2.22044604925031e-15",1,TRUE
100,0.99,2.22044604925031e-15,-2.49944861102504e-06,FALSE,3e+05,"BoundingPair","100_0.99_2.22044604925031e-15",0.749835833021495,TRUE
100,0.99,2.22044604925031e-15,-0.000999500166666563,FALSE,1000,"Fixed_1000","100_0.99_2.22044604925031e-15",299.850549745924,FALSE
100,0.99,2.22044604925031e-15,-3.33332777783292e-06,FALSE,3e+05,"Fixed_3e+05","100_0.99_2.22044604925031e-15",1,TRUE
0.1,1,2.22044604925031e-15,-3.17208077888418e-07,FALSE,3e+05,"Threshold","0.1_1_2.22044604925031e-15",1,TRUE
0.1,1,2.22044604925031e-15,-3.17208077888418e-07,FALSE,3e+05,"Batches_C","0.1_1_2.22044604925031e-15",1,TRUE
0.1,1,2.22044604925031e-15,2380.96760350024,FALSE,3e+05,"BoundingPair","0.1_1_2.22044604925031e-15",7506011887.68521,FALSE
0.1,1,2.22044604925031e-15,-9.51150165335049e-05,FALSE,1000,"Fixed_1000","0.1_1_2.22044604925031e-15",299.850549729578,FALSE
0.1,1,2.22044604925031e-15,-3.17208077888418e-07,FALSE,3e+05,"Fixed_3e+05","0.1_1_2.22044604925031e-15",1,TRUE
1,1,2.22044604925031e-15,-2.10706501774023e-06,FALSE,3e+05,"Threshold","1_1_2.22044604925031e-15",1,TRUE
1,1,2.22044604925031e-15,-2.10706501774023e-06,FALSE,3e+05,"Batches_C","1_1_2.22044604925031e-15",1,TRUE
1,1,2.22044604925031e-15,15815.655071717,FALSE,3e+05,"BoundingPair","1_1_2.22044604925031e-15",7506011887.89081,FALSE
1,1,2.22044604925031e-15,-0.00063180460390262,FALSE,1000,"Fixed_1000","1_1_2.22044604925031e-15",299.850549737765,FALSE
1,1,2.22044604925031e-15,-2.10706501774023e-06,FALSE,3e+05,"Fixed_3e+05","1_1_2.22044604925031e-15",1,TRUE
